brand,reviews.rating,reviews.text,reviews.title,reviews.username,wine_type,reviews.dateAdded
Wine Cube153,5.0,Some of the best boxed wine I have ever tasted. Great taste and great value.,The Cube Riesling,Tammy,red,2018-01-10
Risata,5.0,Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,Perfect For Summer,Lstennisgirl,red,2018-01-10
Middle Sister,4.0,Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,We Loved It!,Kymmie,red,2018-01-10
Love Noir,5.0,Great fruity dry rose!,Yum!,E Fro,red,2018-01-09
Handsome Devil,5.0,"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",An Outstanding Table Wine,Barquet,red,2018-01-09
Apothic,5.0,"Delicious white wine! Light, crisp, not too sweet. Almost too good.",New Go To White,Tatip,red,2018-01-10
Wine Cube153,1.0,Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,No No No No No.... No,Michael,red,2018-01-09
Love Noir,5.0,"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",Love This Love Noir,Bunni,red,2018-01-10
Promisqous,5.0,Best wine I ever tasted,Best Wine I Ever Tasted,Ruthi,red,2018-01-09
Wine Cube153,5.0,"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",Excellent Chardonnay,Sachris,red,2018-01-10
Wine Cube153,5.0,"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",Vintner's Red Boxed Wine,Stephi33,red,2018-01-10
Wine Cube153,5.0,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,Steve,red,2018-01-10
Wine Cube153,5.0,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-priced Bottles,Steve,red,2017-09-06
California Roots,4.0,"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",Great Wine For The Price.,Disneygirl,red,2017-11-19
Wine Cube153,5.0,My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,Love It!,Omobelle74,red,2018-01-10
Disaronno,4.0,I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,Delicious!,Sally,red,2018-01-10
Wine Cube153,5.0,I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,Great For The Price,Mrsk,red,2018-01-10
Wine Cube153,4.0,"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",Pretty Good For Wine In A Box!,Yogi,red,2017-11-22
Fancy Pants,5.0,"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",This Wine Made My Party!,California Lawyer,red,2017-08-30
Beringer,5.0,"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",Tried The Past Type & It's My Favorite So This Should Be Great!,Miss Noel,red,2017-07-25
Fancy Pants,5.0,"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",A Scrumptious Red!,Nancy,red,2017-12-06
Josh Cellars,5.0,"This is a dry Rose, not sweet at all which is perfect for summer!",Refreshing Rose!,Stacycakes,red,2018-01-10
Coppola,5.0,"A wonderful dry wine, and the taste is just divine!",Favorite Rosé,Mamar,red,2018-01-09
Coppola,5.0,"A wonderful dry wine, and the taste is just divine!",Favorite Ros��,Mamar,red,2018-01-09
Strongbow,5.0,Been looking for Strongbow in the US for years,Now That's Cider,Barranca,red,2018-01-10
Spikedseltzer,5.0,"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",Refreshing,Vl0663,red,2018-01-10
Truly Spiked Sparkling,5.0,"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",Here Are The Reasons I Like Truly,Ms Libra,red,2018-01-10
Cupcake Vineyards,5.0,"Best Cabernet I've ever tasted, simple as that.","Best Cabernet I've Ever Tasted, Simple As That.",Hellerew,red,2018-01-09
Truly Spiked Sparkling,5.0,so refreshing! LOVEIT!,I Love It!,Emcq,red,2018-01-10
Margaritaville,5.0,"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",Deliciously Tangy,Gigerina,red,2018-01-10
George Killian's,4.0,"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",Decent Beer For A Good Price,Victor,red,2018-01-10
Entwine,5.0,"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",Looked like a linear regulator from outside and no reviews on ...,ByRussell Graves,red,2017-08-07
La Marca,5.0,"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",Luv This Wine,Chiqueen,red,2017-09-25
Bogle Vineyards,5.0,This wine is full-bodied and delicious.,delicious,JPOsterman,white,2017-09-20
Black Box,4.0,Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,Great wine for price,Doug,red,2017-09-20
Black Box,1.0,Had a taste of either being old or spoiled. Stick with the bottle.,Not worth the money!,Awnry,red,2017-09-20
Black Box,5.0,This is our go-to wine for dinner parties. Better than most of the 10 bottles.,Nice Red,ElCee,red,2017-09-20
Jim Beam,5.0,"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",Always Have Jb Original On Hand,Veteran82,red,2018-01-10
Jim Beam,5.0,It goes great in apple cider,Yumm,Jimmy Apple Beam,red,2018-01-03
Jim Beam,5.0,"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",Always Consistent,Ms K,red,2017-11-30
Jim Beam,5.0,A true classic of spirits...,A Drink That Stands Out; And Smooth As Well...,Ed 'real Tauk' Smith,red,2017-11-20
Jim Beam,5.0,"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",Perfect & Versatile,Tj,red,2017-09-23
Jim Beam,5.0,The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,It is the first drink I check everytime,Planner Jim,red,2017-09-20
Jim Beam,5.0,Best Drink you can get,Yes I would buy again,Dim,red,2017-09-20
Jim Beam,4.0,to make manhattens,very reasonally priced,ERIC,red,2017-09-20
Jim Beam,5.0,Best bourbon I have found...have toured distillery and love the brand..,One fine bourbon,Red,red,2017-09-20
Jim Beam,5.0,Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,Red Stag stands alone,Grar Ulv,red,2017-09-20
Jim Beam,5.0,I like it with dr.peper to sip and relax,Good taste,The handle,red,2017-09-20
Jim Beam,5.0,Better than the other's,The only whiskey I drink,Keith,red,2017-09-20
Jim Beam,5.0,Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,Priced right and great quality,Jojo likes Jim,red,2017-09-20
Jim Beam,5.0,I keep Jim Beam on hand every day of the week.,Best bourbon on earth.,Rddymk,red,2017-09-20
Jim Beam,5.0,"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",A Bourbon Legend,Ronald J. T.,red,2017-09-20
Jim Beam,5.0,It's does have a great toaste to it the only drink I'll drink.,I would buy this drink over and over.,Jim,red,2017-09-20
Jim Beam,5.0,I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,Smooth,GODSMACKER,red,2017-09-20
Jim Beam,5.0,Best tasteing and defenetly the smoothest around I love it!,smoothy,Buffalo,red,2017-09-20
Jim Beam,5.0,I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,Always in my liquor cabinet,Tommy,red,2017-09-20
Jim Beam,5.0,This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again,Best price,KayMrsM,red,2017-09-20
Jim Beam,5.0,Best whiskey around and a price that can't be beat!!,Great product,boome,red,2017-09-20
Jim Beam,4.0,to make manhattens,Very Reasonally Priced,Eric,red,2017-09-02
Jim Beam,5.0,Best bourbon I have found...have toured distillery and love the brand..,One Fine Bourbon,Red,red,2017-07-25
Yellow Tail,5.0,"I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!",It Is A Good Wine,Papo,red,2018-01-09
El Jimador,5.0,I always buy this item at Walmart cause they always have it at a Great Price,Love,Bambi,red,2017-09-20
Basil Hayden's,5.0,"As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!",Awesome Bourbon,Condo Rondo,red,2018-01-10
Basil Hayden's,5.0,Very tasty bourbon!,Love Basil Hayden's,Matas,red,2017-12-28
Basil Hayden's,5.0,Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.,Flavorful With A Smooth Finish,Burbon Patriot,red,2017-09-23
Basil Hayden's,5.0,Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.,Spirit Of Choice,Luke,red,2017-09-12
Cook's California Champagne,5.0,I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.,Cooks Champagne,Extradry1,red,2017-09-20
Menage A Trois,5.0,"My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.",Very Drinkable,Annette,red,2018-01-09
Gallo,5.0,My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.,My Favourite Riesling,Budzilla,red,2018-01-10
Davinci,5.0,Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.,Love,Bri,red,2018-01-09
Sauza,5.0,Perfect sipping tequila ... chilled and neat !,Excellente,Jfs,red,2018-01-10
Sauza,5.0,Perfect sipping tequila ... chilled and neat !,Excellente,JFS,red,2017-09-20
Sauza,5.0,"My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",Solid tequila,Kevin,red,2017-09-20
Sauza,5.0,Straight over ice.,One of my favorite!,Jer53,red,2017-09-20
Pinnacle,5.0,My drink of choice when I really want to enjoy my time alone.,Amazing Drink,Pinnacle King,red,2018-01-10
Pinnacle,5.0,"Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!",Makes The Best Jello Shots Ever!!,Lobo Dan,red,2018-01-08
Pinnacle,5.0,"Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al","""the Best Jerry, The Best""",Hey Al,red,2017-11-20
Pinnacle,5.0,The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,Pinnacle Whipped Bodka,Dk,red,2017-09-23
Pinnacle,5.0,"Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.",Love this product!,Jimmy Boy,red,2017-09-20
Pinnacle,5.0,"I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",I Love This Stuff !!!!,Tophat,red,2017-09-02
Skinnygirl,2.0,Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.,So So,Alohakido,red,2018-01-10
Mirassou,4.0,Very good summer red. It's become our favorite reasonably priced wine that we enjoy on its own.,Smooth And Fruity.,Gj,red,2018-01-10
Seagram's,5.0,love all of the flavors. will be buying again. great for summer drinks,seagrams escapes,karen,red,2017-09-20
Seagram's,4.0,"I bought this pack on a whim and I'm so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! I'll definitely get this again!",Variety Value,Saffeldt,red,2017-09-20
Seagram's,5.0,Vrty good,Line,Pat,red,2017-09-20
Seagram's,4.0,Jamaican me happy,Enjoy there flavors,Terry,red,2017-09-20
Seagram's,5.0,Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet,Tasty if you can find it,natp,red,2017-09-20
Apothic,5.0,We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.,Best Red Blend for the price,PAMID7,red,2017-09-20
Apothic,3.0,Decent table wine for the price. Bend that is on the sweeter side of the spectrum.,pretty good,bkpog10,red,2017-09-20
RumChata,5.0,Rum Chata is great when mixed with Fireball or Caramel Vodka,Very popular,John,red,2017-09-20
Sauza,5.0,Love this brand of tequila. I'm a Margarita fan and like to make different kinds,"Love The Cucumber Chili, Wish It Wasn't Discontinued.",Tiff,red,2018-01-10
Corona Extra,5.0,love it wouldnt mind drinking more,Beer,Leelee,red,2018-01-10
Bud Light,4.0,"On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.","Good, Cheap, Summer Lake Beer",Zach,red,2018-01-10
Absolut,5.0,"Love this vodka - it's perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.",This Is Great!,Deidera,red,2018-01-10
Menage A Trois,5.0,We've been drinking this wine for a while. It's one of a group we buy regularly because it's a good wine at an affordable price.,One of our favorites,Joe,red,2017-09-20
Menage A Trois,4.0,"Never disappointed, constant taste.",Like an old friend,mrjackalope,red,2017-09-20
Menage A Trois,5.0,"A delicious blended wine ... give it a try, you might be surprised",A hidden gem,Tom,red,2017-09-20
Schmitt Sohne Family Wines,5.0,This is by far the best reisling I've ever had! LOVE it! Always consistent in flavor and my go to!,Best Reisling!,Happy Customer,white,2018-01-10
Blue Moon,5.0,Great Taste don't forget a slice of orage on the side!,Delicious,Luis,red,2018-01-10
KINKY,5.0,Very fruity. Smooth. I like it straight over ice with a bit of Chambord.,Yum!,Caette,red,2018-01-10
Corona Light,4.639736663699758,"Tastes absolutley nothing like Chinese restaurant tea... not even similar. It's absolutley horrible, bitter and acrid. With shipping I paid 50 cents per bag... what an amazing rip off. You can go to a local Oriental store and get this kind of stuff for 2 cents per bag... and it would probably taste better.",Bitter Acrid Terrible Tea,Jean L,red,2015-10-30
Corona Light,4.639736663699758,I don't know why some people wrote bad reviews about this tea. It is just like the tea I've grown up with that I had in Chinese Restaurants. The only complaint I have is that I found the same tea while visiting an Asian store out of town and it was only 2.00 per box while this one was more than double plus a 2.99 shipping fee. I knocked the rating down one star because of the outrageous price this seller charges.,Very good tea.....,I. Greenelsh,red,2015-10-30
Corona Light,4.639736663699758,"Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon.",Loving It,george,red,2015-10-30
Corona Light,4.639736663699758,"Yes! this IS just like the Chinese restaurant tea. I used to receive a tea bag or two from my favorite Chinese take out, but nobody does that anymore. I'd save my teabag for the next day to drink with the leftovers, to enhance the leftovers. Now, I can enjoy this tea anytime. This is a refreshing tea that does not make one feel as if we should be adding milk and/or eating some cookies or cakes with it. This tea can stand alone and refresh the inner soul. I drink it with just a pinch of sugar.",Great tea!!,T. Powell,red,2015-10-30
Corona Light,4.639736663699758,"I gave this to my husband for christmas and he loves it. Says it smells good, it has a nice flavor and a smooth texture, just like the tea you are served in Chinese Restaurants :)",Fantastic Tea,Laura L. King,red,2015-10-30
Corona Light,4.639736663699758,"I really like this tea and have bought it many times. The blend called Chinese Restaurant Tea is a blend of green, oolong and jasmine. It doesn't contain ginseng or black tea, which might explain why some people don't like it. (Black tea is more common and smoother tasting than green, which can be grassy or sharp tasting.) It does taste like the teas I have had at better Asian restaurants. (Some of the cheapo ones don't even serve tea any more.)I like the packaging and the name. Kind of quirky, stripped down and charming to my mind. It is hard for me to find this tea in stores. I called the company and they said it was only available in certain regions. (My store had carried it but stopped apparently due to this regional issue -- no longer available in our part of PA.) It was much cheaper in the store than it is on-line but I am just glad to have found it! Thanks for carrying it, Amazon and friends!","Tasty blend of green, jasmine and oolong tea. Hard to find in stores where I live.",N. Gillispie,red,2015-10-30
Corona Light,4.639736663699758,"Really, that's all I have to say. I have ordered this tea several times. Tastes EXACTLY like the Chinese tea that you can find in any major Chinese restaurant.",ILOVETHISTEA,Katy Hannah,red,2015-10-30
Corona Light,4.639736663699758,"I really like the taste of the tea, especially cold. It's a green tea mixed with Ginseng, and they've added licorice root to perhaps sweeten the tea. I don't even add any sugar or honey to it, the taste is that good. My only complaint is that the box claims it is 100 natural, but I wish they would disclose the amount and type of Ginseng. I bought this tea because of the Ginseng, so it would be nice if they disclosed what type of Ginseng and what concentration of it is in the tea itself. Since this is a pretty inexpensive tea, I'm guessing it's a cheap low-quality Ginseng, but like I said, it is tasty. Another nice benefit of this tea is that you can just drop the tea bag into a glass of room temperature water and drink it that way, it's very tasty this way! You don't have to steep or brew it with hot water, so it makes it a nice drinkable tea year round.","Good taste, but is it real Ginseng",phoongdan,red,2015-10-30
Corona Light,4.639736663699758,"I like all ingredients in this tea: Green tea, Licorice root and Ginseng. Specially Licorice root can relieve a spasmodic cough and test like Mint",Good taste And Good tea,LuckyNock,red,2015-05-18
Corona Light,4.639736663699758,We like this brand especially when we make stir fry. Can't find it in the grocery stores any longer and was happy I could find it on line.,Good stuff,jan,red,2015-05-18
Chateau Ste Michelle,5.0,"This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.",Great Taste And Great Value!,Laura,white,2018-01-09
Leinenkugel's,5.0,"Refreshing taste of beer especially for summer, citrus combined w/ blueberry.",Leinenkugels Sunset Wheat,Stl,red,2018-01-10
Sierra Nevada,5.0,"Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard day's work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...","Right On Target, Great After A Busy Day",Matt,red,2018-01-10
Sierra Nevada,5.0,Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it,Excellent IPA,Dakotakid123,red,2017-09-20
New Belgium,5.0,Battle ground walmart is to high priced to surrounding stores,Best beer out of Colorado,Consterese,red,2017-09-20
Smirnoff,5.0,Any alcohol beverage,Smirnoff Is Better Than,Srtinney,red,2018-01-10
Jim Beam,5.0,"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",Always Have Jb Original On Hand,Veteran82,red,2018-01-10
Jim Beam,5.0,My momma LOVES this stuff....!! Its the taste that will rockur socks off!!,"""awesome""",Pooky,red,2018-01-08
Jim Beam,5.0,It goes great in apple cider,Yumm,Jimmy Apple Beam,red,2018-01-03
Jim Beam,5.0,A true classic of spirits...,A Drink That Stands Out; And Smooth As Well...,Ed 'real Tauk' Smith,red,2017-11-20
Jim Beam,5.0,The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,It is the first drink I check everytime,Planner Jim,red,2017-09-20
Jim Beam,5.0,Best Drink you can get,Yes I would buy again,Dim,red,2017-09-20
Jim Beam,4.0,to make manhattens,very reasonally priced,ERIC,red,2017-09-20
Jim Beam,5.0,Best bourbon I have found...have toured distillery and love the brand..,One fine bourbon,Red,red,2017-09-20
Jim Beam,5.0,Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,Red Stag stands alone,Grar Ulv,red,2017-09-20
Jim Beam,5.0,I like it with dr.peper to sip and relax,Good taste,The handle,red,2017-09-20
Jim Beam,5.0,Better than the other's,The only whiskey I drink,Keith,red,2017-09-20
